Date,Open,High,Low,Close,Volume
9/14/2023,15433.01,15473.89,15512.82,15337.18,67107
9/13/2023,15293.27,15348.53,15414.61,15256.6,65849
9/12/2023,15390.59,15289.74,15447.85,15278.88,71848
9/11/2023,15409.77,15461.87,15482.84,15328.35,79224
9/8/2023,15265.57,15280.23,15374.22,15244.06,70336
9/7/2023,15174.22,15258.52,15288.2,15138.73,81042
9/6/2023,15467.32,15371.44,15487,15289.48,72405
9/5/2023,15460.52,15508.24,15556.85,15419.96,72098
9/1/2023,15600.95,15490.86,15618.85,15429.36,74703
8/31/2023,15475.43,15501.07,15575.01,15466.41,70255
8/30/2023,15386.67,15462.43,15484.83,15341.94,68169
8/29/2023,15043.02,15376.55,15391.56,15034.54,75261
8/28/2023,15035.48,15052.46,15086.23,14948.92,59915
8/25/2023,14858.93,14941.83,15001.29,14715.36,73957
8/24/2023,15278.93,14816.44,15279.24,14814.83,81655
8/23/2023,14947.58,15148.06,15188.86,14947.58,66999
8/22/2023,15035.07,14908.96,15037.79,14883.98,68802
8/21/2023,14762.01,14936.69,14958.87,14739.37,69678
8/18/2023,14589.71,14694.84,14744.57,14557.83,78339
8/17/2023,14943.34,14715.81,14949.59,14698.29,76755
8/16/2023,15021.63,14876.47,15077.05,14874.02,67575
8/15/2023,15172.08,15037.65,15192.88,15014.37,64454
8/14/2023,14988.42,15205.59,15206.26,14972.01,66437
8/11/2023,15010.52,15028.07,15102.53,14973.67,64388
8/10/2023,15217.29,15128.84,15366.29,15072.49,73776
8/9/2023,15286.99,15101.71,15288.76,15077.91,77197
8/8/2023,15279.41,15273.05,15295.8,15148.25,81277
8/7/2023,15355.62,15407.85,15410.85,15258.92,82621
8/4/2023,15420.74,15274.92,15523.31,15258.69,98949
8/3/2023,15287.77,15353.54,15436.59,15270.72,78958
8/2/2023,15561.15,15370.74,15561.36,15321.44,92576
8/1/2023,15696.98,15718.01,15748.43,15636.57,67789
7/31/2023,15774.3,15757,15803.55,15702.74,70076
7/28/2023,15630.17,15750.93,15788.48,15617.75,88549
7/27/2023,15734.03,15464.93,15795.51,15416.05,97013
7/26/2023,15514.04,15499.27,15571.16,15411.91,87815
7/25/2023,15483.06,15561.42,15622.69,15482.04,72580
7/24/2023,15475.15,15448.02,15504.67,15374.66,77297
7/21/2023,15554.96,15425.67,15600.54,15410.57,102970
7/20/2023,15717.67,15466.09,15771.84,15429.87,107917
7/19/2023,15888.16,15826.35,15932.05,15781.96,92991
7/18/2023,15671.72,15841.35,15895.68,15607.71,87057
7/17/2023,15608.28,15713.28,15745.67,15576.51,83100
7/14/2023,15610,15565.6,15720.06,15531,87763
7/13/2023,15432.48,15571.98,15602.74,15420.71,86098
7/12/2023,15279.35,15307.23,15364.09,15209.71,96157
7/11/2023,15068.13,15119.06,15135.29,14974.16,86093
7/10/2023,15031.95,15045.64,15066.44,14924.64,98807
7/7/2023,15070.5,15036.85,15210.63,15032.56,89368
7/6/2023,15054.1,15089.45,15106.45,14969.14,1
7/5/2023,15165.36,15203.78,15275.18,15162.66,79612
7/3/2023,15190.54,15208.69,15232.96,15153.6,56564
6/30/2023,15085.24,15179.21,15213.75,15081.57,79887
