symbol,date,open,close,high,low,volume
SP-500,5/17/2021,4169.92,4163.29,4171.92,4142.69,189886
SP-500,5/14/2021,4129.58,4173.85,4183.13,4129.58,162824
SP-500,5/13/2021,4074.99,4112.5,4131.58,4074.99,186831
SP-500,5/12/2021,4130.55,4063.04,4134.73,4056.88,202841
SP-500,5/11/2021,4150.34,4152.1,4162.04,4111.53,213770
SP-500,5/10/2021,4228.29,4188.43,4236.39,4188.13,193620
SP-500,5/7/2021,4210.34,4232.6,4238.04,4201.64,173527
SP-500,5/6/2021,4169.14,4201.62,4202.7,4147.33,190523
SP-500,5/5/2021,4177.06,4167.59,4187.72,4160.94,192294
SP-500,5/4/2021,4179.04,4164.66,4179.04,4128.59,217269
SP-500,5/3/2021,4191.98,4192.66,4209.39,4188.03,183850
SP-500,4/30/2021,4198.1,4181.17,4198.1,4174.85,191735
SP-500,4/29/2021,4206.14,4211.47,4218.78,4176.81,219950
SP-500,4/28/2021,4185.14,4183.18,4201.53,4181.78,182083
SP-500,4/27/2021,4188.25,4186.72,4193.35,4176.22,169755
SP-500,4/26/2021,4185.03,4187.62,4194.19,4182.36,158196
SP-500,4/23/2021,4138.78,4180.17,4194.17,4138.78,167809
SP-500,4/22/2021,4170.46,4134.98,4179.57,4123.69,203654
SP-500,4/21/2021,4128.42,4173.42,4175.02,4126.35,175159
SP-500,4/20/2021,4159.18,4134.94,4159.18,4118.38,199238
SP-500,4/19/2021,4179.8,4163.26,4180.81,4150.47,160488
SP-500,4/16/2021,4174.14,4185.47,4191.31,4170.75,170897
SP-500,4/15/2021,4139.76,4170.42,4173.49,4139.76,177541
SP-500,4/14/2021,4141.58,4124.66,4151.69,4120.87,175462
SP-500,4/13/2021,4130.1,4141.59,4148,4124.43,167448
SP-500,4/12/2021,4124.71,4127.99,4131.76,4114.82,155849
SP-500,4/9/2021,4096.11,4128.8,4129.48,4095.51,156134
SP-500,4/8/2021,4089.95,4097.17,4098.19,4082.54,163251
SP-500,4/7/2021,4074.29,4079.95,4083.13,4068.31,164243
SP-500,4/6/2021,4075.57,4073.94,4086.23,4068.14,173518
SP-500,4/5/2021,4034.44,4077.91,4083.42,4034.44,183320
SP-500,4/1/2021,3992.78,4019.87,4020.63,3992.78,187456
SP-500,3/31/2021,3967.25,3972.89,3994.41,3966.98,184503
SP-500,3/30/2021,3963.34,3958.55,3968.01,3944.35,177098
SP-500,3/29/2021,3969.31,3971.09,3981.83,3943.25,195366
SP-500,3/26/2021,3917.12,3974.54,3978.19,3917.12,229446
SP-500,3/25/2021,3879.34,3909.52,3919.54,3853.5,204957
SP-500,3/24/2021,3919.93,3889.14,3942.08,3889.07,205095
SP-500,3/23/2021,3937.6,3910.52,3949.13,3901.57,208734
SP-500,3/22/2021,3916.48,3940.59,3955.31,3914.16,180093
SP-500,3/19/2021,3913.14,3913.1,3930.12,3886.75,244103
SP-500,3/18/2021,3953.5,3915.46,3969.62,3910.86,229074
SP-500,3/17/2021,3949.57,3974.12,3983.87,3935.74,207770
SP-500,3/16/2021,3973.59,3962.71,3981.04,3953.44,200478
SP-500,3/15/2021,3942.96,3968.94,3970.08,3923.54,201824
SP-500,3/12/2021,3924.52,3943.34,3944.99,3915.21,191154
SP-500,3/11/2021,3915.54,3939.34,3960.27,3915.54,220550
SP-500,3/10/2021,3891.99,3898.81,3917.35,3885.73,230171
SP-500,3/9/2021,3851.93,3875.44,3903.76,3851.93,232137
SP-500,3/8/2021,3844.39,3821.35,3881.06,3819.25,260740
SP-500,3/5/2021,3793.58,3841.94,3851.69,3730.19,292123
SP-500,3/4/2021,3818.53,3768.47,3843.67,3723.34,306215
SP-500,3/3/2021,3863.99,3819.72,3874.47,3818.86,232961
SP-500,3/2/2021,3903.64,3870.29,3906.41,3868.57,191620
SP-500,3/1/2021,3842.51,3901.82,3914.5,3842.51,203661
SP-500,2/26/2021,3839.66,3811.15,3861.08,3789.54,243987
SP-500,2/25/2021,3915.8,3829.34,3925.02,3814.04,258972
SP-500,2/24/2021,3873.71,3925.43,3928.65,3859.6,241717
SP-500,2/23/2021,3857.07,3881.37,3895.98,3805.59,260609
SP-500,2/22/2021,3885.55,3876.5,3902.92,3874.71,232275
SP-500,2/19/2021,3921.16,3906.71,3930.41,3903.07,191057
SP-500,2/18/2021,3915.86,3913.97,3921.98,3885.03,173002
SP-500,2/17/2021,3918.5,3931.33,3933.61,3900.43,183884
SP-500,2/16/2021,3939.61,3932.59,3950.43,3923.85,188068
SP-500,2/12/2021,3911.65,3934.83,3937.23,3905.78,155824
SP-500,2/11/2021,3916.4,3916.38,3925.99,3890.39,172202
SP-500,2/10/2021,3920.78,3909.88,3931.5,3884.94,193412
SP-500,2/9/2021,3910.49,3911.23,3918.35,3902.64,174003
SP-500,2/8/2021,3892.59,3915.59,3915.77,3892.59,178687
SP-500,2/5/2021,3878.3,3886.83,3894.56,3874.93,177816
SP-500,2/4/2021,3836.66,3871.74,3872.42,3836.66,197620
SP-500,2/3/2021,3840.27,3830.17,3847.51,3816.68,187351
SP-500,2/2/2021,3791.84,3826.31,3843.09,3791.84,200815
SP-500,2/1/2021,3731.17,3773.86,3784.32,3725.62,207124
SP-500,1/29/2021,3778.05,3714.24,3778.05,3694.12,256448
SP-500,1/28/2021,3755.75,3787.38,3830.5,3755.75,270605
SP-500,1/27/2021,3836.83,3750.77,3836.83,3732.48,331943
SP-500,1/26/2021,3862.96,3849.62,3870.9,3847.78,217428
SP-500,1/25/2021,3851.68,3855.36,3859.23,3797.16,239368
SP-500,1/22/2021,3844.24,3841.47,3852.31,3830.41,189011
SP-500,1/21/2021,3857.46,3853.07,3861.45,3845.05,214912
SP-500,1/20/2021,3816.22,3851.85,3859.75,3816.22,193819
SP-500,1/19/2021,3781.88,3798.91,3804.53,3780.37,196536
SP-500,1/15/2021,3788.73,3768.25,3788.73,3749.62,220761
SP-500,1/14/2021,3814.98,3795.54,3823.6,3792.86,227052
SP-500,1/13/2021,3802.23,3809.84,3820.96,3791.5,195854
SP-500,1/12/2021,3801.62,3801.19,3810.78,3776.51,225028
SP-500,1/11/2021,3803.14,3799.61,3817.86,3789.02,189525
SP-500,1/8/2021,3815.05,3824.68,3826.69,3783.6,197286
SP-500,1/7/2021,3764.71,3803.79,3811.55,3764.71,211479
SP-500,1/6/2021,3712.2,3748.14,3783.04,3705.34,265735
SP-500,1/5/2021,3698.02,3726.86,3737.83,3695.07,195140
SP-500,1/4/2021,3764.61,3700.65,3769.99,3662.71,220013
SP-500,12/31/2020,3733.27,3756.07,3760.2,3726.88,134647
SP-500,12/30/2020,3736.19,3732.04,3744.63,3730.21,131519
SP-500,12/29/2020,3750.01,3727.04,3756.12,3723.31,142381
SP-500,12/28/2020,3723.03,3735.36,3740.51,3723.03,140236
SP-500,12/24/2020,3694.03,3703.06,3703.82,3689.32,71704
SP-500,12/23/2020,3693.42,3690.01,3711.24,3689.28,151018
SP-500,12/22/2020,3698.08,3687.26,3698.26,3676.16,173074
SP-500,12/21/2020,3684.28,3694.92,3702.9,3636.48,205163
SP-500,12/18/2020,3722.39,3709.41,3726.7,3685.84,223303
SP-500,12/17/2020,3713.65,3722.48,3725.12,3710.87,171842
SP-500,12/16/2020,3696.25,3701.17,3711.27,3688.57,176222
SP-500,12/15/2020,3666.41,3694.62,3695.29,3659.62,206777
SP-500,12/14/2020,3675.27,3647.49,3697.61,3645.84,200175
SP-500,12/11/2020,3656.08,3663.46,3665.91,3633.4,189393
SP-500,12/10/2020,3659.13,3668.1,3678.49,3645.18,194029
SP-500,12/9/2020,3705.98,3672.82,3712.39,3660.54,229774
SP-500,12/8/2020,3683.05,3702.25,3708.45,3678.83,186202
SP-500,12/7/2020,3694.73,3691.96,3697.41,3678.88,189437
SP-500,12/4/2020,3670.94,3699.12,3699.2,3670.94,212685
SP-500,12/3/2020,3668.28,3666.72,3682.73,3657.17,267932
SP-500,12/2/2020,3653.78,3669.01,3670.96,3644.84,242267
SP-500,12/1/2020,3645.87,3662.45,3678.45,3645.87,267544
SP-500,11/30/2020,3634.18,3621.63,3634.18,3594.39,369326
SP-500,11/27/2020,3638.55,3638.35,3644.31,3629.33,127511
SP-500,11/25/2020,3635.5,3629.65,3635.5,3617.76,236479
SP-500,11/24/2020,3594.52,3635.41,3642.31,3594.52,324173
